model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_UDM;                     result:0.5264663100242615; start:2023-09-30 11:52:42.855017; end:2023-09-30 11:52:45.383173.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_UDM;                     result:0.8738642334938049; start:2023-09-30 11:52:44.521359; end:2023-09-30 11:52:47.037559.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_UDM;                     result:0.9918075203895569; start:2023-09-30 11:52:51.969213; end:2023-09-30 11:52:52.490609.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_PAR;                     result:0.005922355689108372; start:2023-09-30 11:52:52.547768; end:2023-09-30 11:57:07.154477.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_PAR;                     result:0.10143023729324341; start:2023-09-30 11:52:47.092787; end:2023-09-30 11:57:43.485940.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_PAR;                     result:0.2561231851577759; start:2023-09-30 11:52:45.439623; end:2023-09-30 11:57:49.401053.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_UDM;                     result:0.5843728184700012; start:2023-09-30 12:13:56.491232; end:2023-09-30 12:13:58.416341.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 11:57:49.411292; end:2023-09-30 12:14:38.031209.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_SUM;                     result:ERROR; start:2023-09-30 12:14:38.112934; end:2023-09-30 12:14:38.807815.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 12:14:38.820515; end:2023-09-30 12:14:38.930577.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 11:57:07.164736; end:2023-09-30 12:14:40.390308.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_SUM;                     result:ERROR; start:2023-09-30 12:14:40.472350; end:2023-09-30 12:14:41.191967.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 12:14:41.204821; end:2023-09-30 12:14:41.352471.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 11:57:43.496069; end:2023-09-30 12:14:42.378349.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_SUM;                     result:ERROR; start:2023-09-30 12:14:42.455505; end:2023-09-30 12:14:43.041123.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 12:14:43.053494; end:2023-09-30 12:14:43.157610.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_UDM;                     result:0.8738642334938049; start:2023-09-30 12:15:10.845841; end:2023-09-30 12:15:13.260483.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_UDM;                     result:0.9918075203895569; start:2023-09-30 12:15:19.766334; end:2023-09-30 12:15:20.290035.
model:<class 'src.model_processors.InstructorModelProcessor'>; metric:calculate_UDM;                     result:0.990976870059967; start:2023-09-30 12:15:38.694985; end:2023-09-30 12:15:41.797959.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_UDM;                     result:0.5264663100242615; start:2023-09-30 12:16:07.354440; end:2023-09-30 12:16:10.280921.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_PAR;                     result:0.2074686884880066; start:2023-09-30 12:13:58.473563; end:2023-09-30 12:18:50.538006.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_PAR;                     result:0.005922355689108372; start:2023-09-30 12:15:20.346635; end:2023-09-30 12:19:47.542807.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_PAR;                     result:0.10143023729324341; start:2023-09-30 12:15:13.317418; end:2023-09-30 12:20:37.825912.
model:<class 'src.model_processors.InstructorModelProcessor'>; metric:calculate_PAR;                     result:0.01560307014733553; start:2023-09-30 12:15:41.854823; end:2023-09-30 12:20:56.463186.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_PAR;                     result:0.2561231851577759; start:2023-09-30 12:16:10.338530; end:2023-09-30 12:21:23.896100.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 12:21:23.906297; end:2023-09-30 12:21:29.030919.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_SUM;                     result:0.6001555919647217; start:2023-09-30 12:21:29.111344; end:2023-09-30 13:05:50.906040.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 12:19:47.553087; end:2023-09-30 13:07:17.296159.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 12:18:50.548069; end:2023-09-30 13:09:18.283396.
